iter	RMSE
0	1175.327723
1	1147.473234
2	1120.723548
3	1095.783556
4	1073.825714
5	1052.780064
6	1033.047377
7	1014.625354
8	997.9750092
9	982.0117078
10	967.9865153
11	954.8972518
12	942.6939694
13	930.5779387
14	919.7273684
15	910.3662343
16	900.724728
17	892.543308
18	885.1785873
19	877.9752522
20	871.1534089
21	864.8030125
22	858.4433905
23	852.3009387
24	847.2018536
25	842.5336601
26	837.43723
27	833.5281136
28	829.8909062
29	826.3812721
30	822.7352443
31	819.6160993
32	816.579893
33	814.460419
34	811.8704755
35	809.6984542
36	807.5799825
37	805.7315084
38	803.2417728
39	800.8237702
40	799.050263
41	797.0994618
42	795.4308472
43	793.9268227
44	792.5136427
45	791.4011741
46	790.2329945
47	789.1045003
48	788.4323637
49	787.3999957
50	786.7179095
51	785.3391091
52	784.3234831
53	783.68521
54	782.3641223
55	781.6274627
56	780.3496611
57	779.5870887
58	779.17597
59	778.4182684
60	778.1751211
61	777.6825234
62	776.755527
63	776.2477976
64	775.6044952
65	775.0417437
66	774.40133
67	773.7403612
68	772.9109526
69	772.126835
70	771.6327553
71	771.0171061
72	770.477333
73	770.0359218
74	769.3710229
75	768.0801465
76	767.7643185
77	767.2519093
78	766.6039345
79	766.1043984
80	765.7480677
81	765.3739331
82	765.2904491
83	764.8613694
84	764.3512123
85	763.6909673
86	763.6566605
87	763.30623
88	763.0571735
89	762.4392819
90	761.9962356
91	761.7928493
92	761.5327751
93	761.3277578
94	761.0534527
95	760.6853345
96	759.8259411
97	758.7277168
98	758.4381222
99	758.3873689
100	758.0040597
101	757.8168165
102	757.3336824
103	756.8717605
104	756.509146
105	756.4722393
106	756.2378305
107	755.9205143
108	755.6254929
109	755.2956032
110	755.2196283
111	754.9002878
112	754.8679368
113	754.5495127
114	754.1695633
115	754.0131176
116	753.7886885
117	753.4248894
118	753.3586689
119	753.1422474
120	753.0649025
121	752.9366647
122	752.936168
123	752.529469
124	752.2974918
125	752.1188084
126	751.9305949
127	751.4419385
128	751.3024587
129	751.0721139
130	750.7283719
131	750.5651715
132	750.3302951
133	750.1742502
134	750.1695461
135	749.9230047
136	749.6319212
137	749.5116091
138	748.8442612
139	748.7180618
140	748.4090111
141	748.1895142
142	748.1189108
143	748.0388229
144	747.8021982
145	747.328685
146	747.2787319
147	747.2571898
148	747.1299425
149	747.0291391
150	747.0273904
151	746.8668497
152	746.5964822
153	746.499881
154	746.2356626
155	745.8391209
156	745.5396312
157	745.2117941
158	745.20964
159	744.5582031
160	744.5425588
161	744.5068967
162	744.3608062
163	744.2611039
164	743.9733675
165	743.7364593
166	743.5627
167	743.5506435
168	743.3088885
169	743.2982581
170	743.2170867
171	742.910751
172	742.6890607
173	742.4339734
174	742.2898184
175	742.090586
176	742.0030685
177	741.6922289
178	741.4705925
179	741.4644427
180	741.4415981
181	741.4270749
182	741.3752649
183	741.3561548
184	741.2989275
185	741.0805335
186	741.0659295
187	740.6966438
188	740.4324452
189	740.4218631
190	740.4210034
191	740.2420841
192	740.1203091
193	740.1170676
194	740.1138664
195	739.8813248
196	739.7306807
197	739.475216
198	739.3651674
199	739.1989354
200	738.8609299
201	738.8234408
202	738.6454826
203	738.3308481
204	738.1612788
205	737.9083618
206	737.8559313
207	737.6458907
208	737.1714775
209	737.0482453
210	736.924221
211	736.6734415
212	736.57645
213	736.4761852
214	736.4741868
215	736.1828882
216	736.0104174
217	735.817612
218	735.811669
219	735.8106862
220	735.6484988
221	735.5852317
222	735.5849755
223	735.1827723
224	734.9327538
225	734.9323915
226	734.8461064
227	734.7543291
228	734.1886829
229	734.1883923
230	734.091124
231	734.0901319
232	733.8798008
233	733.6946572
234	733.6100437
235	733.3133205
236	733.1979718
237	733.0403034
238	732.9865295
239	732.7163418
240	732.709725
241	732.5408488
242	732.2922802
243	731.9740317
244	731.9568924
245	731.8691832
246	731.4937994
247	731.1168435
248	731.1145747
249	731.1030534
250	730.9323906
251	730.7307776
252	730.4553269
253	730.4244747
254	730.4241631
255	730.3825707
256	730.3027698
257	730.2276797
258	729.9993213
259	729.9628635
260	729.5989003
261	729.5478532
262	729.3736899
263	729.3729486
264	729.3596332
265	729.3528565
266	729.0616087
267	728.5496279
268	728.5218236
269	728.3545316
270	728.1986459
271	727.8612084
272	727.849874
273	727.7925765
274	727.7434162
275	727.5924917
276	727.4087368
277	727.0206564
278	726.9534131
279	726.9448369
280	726.9379545
281	726.6992789
282	726.6978093
283	726.5264638
284	726.344495
285	726.1850349
286	726.1350734
287	726.1340328
288	725.9717134
289	725.930779
290	725.6926979
291	725.6301904
292	725.6077527
293	725.2136201
294	725.1900401
295	725.1710469
296	724.7849261
297	724.6066196
298	723.9680101
299	723.7505435
300	723.693017
301	723.5726432
302	723.5210907
303	723.263574
304	723.2536846
305	723.2521767
306	723.0220834
307	722.8672049
308	722.8444329
309	722.6927739
310	722.687739
311	722.5030476
312	722.341973
313	722.3276738
314	722.0679726
315	722.0527269
316	722.0438406
317	722.0437099
318	722.0431532
319	721.4540268
320	721.0109714
321	720.5466381
322	720.5427409
323	720.5105629
324	720.468066
325	720.2071565
326	720.0888135
327	720.0631125
328	719.6418255
329	719.6416947
330	719.6178465
331	719.4436752
332	719.244507
333	718.8096438
334	718.7023245
335	718.6284454
336	718.381357
337	718.3196891
338	718.2980773
339	718.106914
340	717.7990113
341	717.3904936
342	717.144731
343	716.9828021
344	716.8409033
345	716.6277944
346	716.6097227
347	716.6084098
348	716.3293415
349	716.2049333
350	716.2048364
351	716.1067203
352	715.9685468
353	715.9553237
354	715.9096877
355	715.6084856
356	715.5383273
357	715.5188688
358	715.2801964
359	715.0556064
360	714.9807507
361	714.8312321
362	714.6010488
363	714.3783366
364	714.3776254
365	714.1464672
366	714.0128245
367	713.9211009
368	713.8588517
369	713.5999709
370	713.5923594
371	713.5416744
372	713.469639
373	713.4470873
374	713.4159265
375	713.4151575
376	713.1588477
377	713.0724105
378	713.0501136
379	712.9524573
380	712.9479099
381	712.9313852
382	712.7257566
383	712.6929943
384	712.5560025
385	712.4042413
386	712.376498
387	712.1908191
388	712.1906941
389	712.1098858
390	712.0841333
391	712.0840347
392	712.034495
393	711.5962405
394	711.5389257
395	711.2558686
396	711.134384
397	710.8753903
398	710.8393487
399	710.8242003
400	710.8238184
401	710.7405345
402	710.5454469
403	710.4776989
404	710.4712746
405	710.462397
406	710.4110188
