iter	RMSE
0	1135.746001
1	1107.403634
2	1081.034418
3	1056.512248
4	1034.16888
5	1014.629886
6	995.3612148
7	976.6046763
8	960.3214479
9	945.6743853
10	931.7291903
11	918.3853566
12	906.3629706
13	895.659649
14	884.7006362
15	875.0784197
16	866.2281574
17	858.1062926
18	850.5923505
19	843.8112245
20	837.1110452
21	830.9971114
22	825.1590828
23	819.9716644
24	815.0217414
25	810.6680921
26	806.3352138
27	802.7544602
28	799.5266037
29	795.9447303
30	792.6051271
31	790.1160273
32	787.522302
33	785.1897048
34	782.9132022
35	781.0026111
36	778.926503
37	777.0456815
38	775.3135916
39	773.7883054
40	772.400703
41	770.9400899
42	769.8629648
43	768.4949684
44	767.4184875
45	766.2611706
46	765.1855348
47	764.0025477
48	763.0750908
49	762.2716635
50	761.4544618
51	760.7714782
52	759.7930629
53	759.1949954
54	758.4333853
55	757.9021955
56	757.1702958
57	756.6277645
58	756.0699607
59	755.4935956
60	754.7947489
61	754.3240079
62	753.8472003
63	753.2237306
64	752.8106884
65	752.4749845
66	751.9891563
67	751.4784985
68	750.9657611
69	750.6648906
70	750.1486173
71	749.8253879
72	749.2902416
73	748.9668872
74	748.7500731
75	748.2260714
76	747.8307705
77	747.485311
78	747.2129185
79	746.993626
80	746.739061
81	746.3415048
82	746.1569513
83	745.7226168
84	745.267943
85	744.9542635
86	744.6335132
87	744.3567794
88	744.087871
89	743.726158
90	743.3012292
91	742.867621
92	742.6413069
93	742.3557051
94	741.9879181
95	741.8177085
96	741.5023345
97	741.1287554
98	740.9111785
99	740.6984892
100	740.5535984
101	740.3954726
102	740.2862977
103	740.0087351
104	739.6754772
105	739.2716942
106	739.1212974
107	738.9553785
108	738.7585925
109	738.6869725
110	738.5928959
111	738.4200717
112	738.2997458
113	738.1994825
114	738.141371
115	738.1052922
116	737.8630681
117	737.5236849
118	737.2609261
119	736.8307172
120	736.618039
121	736.4270937
122	736.2633112
123	735.9763431
124	735.8616976
125	735.8187307
126	735.584034
127	735.3050348
128	735.2065455
129	734.98703
130	734.8627427
131	734.5729478
132	734.3982808
133	734.1775097
134	734.091364
135	734.0119774
136	733.8213304
137	733.7394623
138	733.6700986
139	733.4858124
140	733.3183239
141	733.2379377
142	732.8318777
143	732.792674
144	732.6469759
145	732.5403295
146	732.5305871
147	732.3976331
148	732.2561715
149	732.1679779
150	732.0315666
151	731.7842302
152	731.3801575
153	731.31049
154	731.140031
155	731.0646685
156	730.6284333
157	730.577944
158	730.4243781
159	730.1818762
160	729.9816472
161	729.7075226
162	729.46134
163	729.2438675
164	729.0890054
165	728.9726698
166	728.6333218
167	728.3173679
168	727.7455311
169	727.7061529
170	727.647089
171	727.6203108
172	727.407028
173	727.1665298
174	727.1440956
175	726.8365892
176	726.6450239
177	726.5355956
178	726.1067808
179	725.9325565
180	725.9274997
181	725.7292236
182	725.6519743
183	725.5315606
184	725.2864048
185	725.0798448
186	725.0046184
187	724.7294019
188	724.6441676
189	724.5901505
190	724.0081457
191	723.9750217
192	723.9616858
193	723.760893
194	723.4784231
195	723.2725938
196	723.0604147
197	722.7578355
198	722.6488193
199	722.5008883
200	722.37586
201	722.3342184
202	722.293958
203	722.1246706
204	721.8193484
205	721.6804784
206	721.4704103
207	721.2979693
208	721.249624
209	721.2285058
210	720.9812598
211	720.8708214
212	720.6372883
213	720.5541414
214	720.4988426
215	720.2778697
216	720.1840024
217	720.1663782
218	719.9195866
219	719.7501216
220	719.7093456
221	719.4875887
222	719.4530999
223	719.1996874
224	718.9709027
225	718.7742261
226	718.6772749
227	718.5166898
228	718.5022723
229	718.0781042
230	717.8527691
231	717.7074809
232	717.6860687
233	717.6059036
234	717.5006613
235	717.4412432
236	717.3037524
237	717.0950405
238	717.0428131
239	716.9900161
240	716.7097698
241	716.4407739
242	716.3653055
243	716.1992681
244	716.0823737
245	715.9771637
246	715.8767119
247	715.8108151
248	715.5036412
249	715.2563769
250	715.2026321
251	714.9613802
252	714.9085805
253	714.842519
254	714.7778651
255	714.7258688
256	714.5962234
257	714.3983527
258	714.3577571
259	714.3222101
260	714.1240988
261	714.0736206
262	714.0152179
263	713.7631045
264	713.6090386
265	713.4654651
266	713.3181162
267	713.1237683
268	712.9147719
269	712.7351918
270	712.489857
271	712.4082264
272	712.3229165
273	712.0566326
274	711.9587288
275	711.8932739
276	711.7163549
277	711.5260659
278	711.4877343
279	711.4310489
280	711.3117549
281	711.0362251
282	710.9871415
283	710.9087269
284	710.6964586
285	710.5809086
286	710.4801834
287	710.4126631
288	710.3663928
289	710.1011184
290	710.0768706
291	709.9568321
292	709.6213718
293	709.3498999
294	709.1054566
295	709.0342774
296	708.8713334
297	708.8344367
298	708.5098342
299	708.4775881
300	708.3936864
301	708.2301544
302	708.1524425
303	708.0731067
304	708.0504527
305	708.0257172
306	707.9200442
307	707.6451276
308	707.5325671
309	707.4766244
310	707.3964054
311	707.3241294
312	707.1768543
313	706.9668259
314	706.7844179
315	706.6552244
316	706.490989
317	706.3496253
318	706.3399792
319	706.2635214
320	706.0773001
321	705.8744447
322	705.5935887
323	705.483713
324	705.201529
325	705.038234
326	705.0351353
327	704.9850304
328	704.8774985
329	704.8013573
330	704.7817641
331	704.6242393
332	704.5696756
333	704.4386069
334	704.2916633
335	704.1863252
336	704.1010356
337	704.0364888
338	704.0094927
339	703.9750405
340	703.9234848
341	703.7479519
342	703.6185633
343	703.3979636
344	703.3471473
345	703.2741669
346	703.2292585
347	703.2066212
348	703.1978598
349	702.8519826
350	702.7776031
351	702.602332
352	702.53636
353	702.5012704
354	702.4015756
355	702.3338579
356	702.2354999
357	702.2010178
358	702.0451577
359	701.890563
360	701.6242084
361	701.5407664
362	701.4931801
363	701.3183397
364	701.2262379
365	701.0766344
366	700.7900308
367	700.6311397
368	700.3648143
369	700.3440803
370	700.2682738
371	700.2526244
372	700.1492198
373	699.9368277
374	699.8416696
375	699.819211
376	699.7544361
377	699.65761
378	699.3276665
379	699.2730974
380	699.2274929
381	699.2130693
382	699.1629769
383	699.106192
384	699.0739728
385	698.9922399
386	698.6858233
387	698.5551699
388	698.5093892
389	698.4969419
390	698.4387367
391	698.3678942
392	698.3231585
393	698.2513989
394	698.2132172
395	698.115714
396	698.045122
397	697.9145527
398	697.7977813
399	697.7869748
400	697.6958836
401	697.6493188
402	697.5854413
403	697.3225833
404	697.092698
405	696.9224325
406	696.8891088
407	696.8735905
408	696.7808009
409	696.6726454
410	696.5911533
411	696.4722765
412	696.4310179
413	696.369288
414	696.2039667
415	696.1883015
416	696.1075316
417	696.0440323
418	695.9948663
419	695.938799
420	695.8989816
421	695.7315887
422	695.7239641
423	695.6639574
424	695.592421
425	695.3695215
426	695.3075295
427	695.2682905
428	695.1845696
429	695.0894322
430	695.0151118
431	694.9504263
432	694.772769
433	694.7041091
434	694.6035521
435	694.4952455
436	694.3616675
437	694.2819284
438	694.1101316
439	693.9540513
440	693.8994302
441	693.8313636
442	693.822953
443	693.7584884
444	693.7514711
445	693.591706
446	693.5080982
447	693.4821518
448	693.4441325
449	693.2871527
450	693.2430226
451	693.1283088
452	693.1079985
453	693.0464244
454	692.8209927
455	692.7897672
456	692.6999339
457	692.6922657
458	692.6496087
459	692.5285192
460	692.3992075
461	692.2693924
462	692.2380523
463	692.0777621
464	692.0681054
465	691.7912963
466	691.7357539
467	691.6779197
468	691.5706094
469	691.5139264
470	691.4165559
471	691.3803551
472	691.3521602
473	691.278911
474	691.237501
475	691.0399659
476	690.9055843
477	690.898216
478	690.7633507
479	690.6426956
480	690.573855
481	690.4670059
482	690.4562122
483	690.2140005
484	690.1745079
485	690.0758486
486	690.0182875
487	689.9727623
488	689.929345
489	689.8989623
490	689.7773629
491	689.7346356
492	689.6729627
493	689.483766
494	689.4307906
495	689.3703965
496	689.3536941
497	689.2757105
498	689.2253626
499	689.1643246
500	688.8906913
501	688.8732585
502	688.6434787
503	688.5202922
504	688.4905001
505	688.3505601
506	688.0960345
507	688.0474788
508	687.9898745
509	687.8126287
510	687.591826
511	687.5348639
512	687.3505402
513	687.3045
514	687.2071236
515	687.1838044
516	687.1273009
517	687.1265493
518	687.0473419
519	686.9344453
520	686.8781888
521	686.8170648
522	686.7609529
523	686.7280324
524	686.6724281
525	686.5545198
526	686.5033495
527	686.4536646
528	686.3329955
529	686.2665646
530	686.227208
531	686.0234523
532	685.9607309
533	685.9072546
