iter	Passed	Remaining
0	121	120958
1	241	120536
2	386	128577
3	535	133299
4	657	130849
5	765	126828
6	887	125946
7	1033	128116
8	1166	128393
9	1305	129278
10	1421	127845
11	1560	128490
12	1696	128777
13	1832	129041
14	1970	129402
15	2105	129510
16	2237	129381
17	2358	128693
18	2483	128230
19	2630	128904
20	2763	128816
21	2890	128476
22	3009	127834
23	3197	130048
24	3352	130748
25	3514	131669
26	3667	132164
27	3801	131981
28	3935	131778
29	4081	131957
30	4275	133646
31	4450	134638
32	4650	136281
33	4817	136886
34	4956	136670
35	5092	136370
36	5226	136038
37	5365	135819
38	5504	135628
39	5657	135780
40	5793	135505
41	5949	135705
42	6099	135752
43	6254	135888
44	6392	135663
45	6563	136125
46	6709	136038
47	6854	135938
48	6991	135691
49	7131	135489
50	7267	135227
51	7414	135180
52	7564	135170
53	7712	135115
54	7843	134771
55	7989	134683
56	8130	134501
57	8290	134641
58	8493	135464
59	8667	135788
60	8836	136024
61	9031	136635
62	9204	136897
63	9379	137180
64	9539	137224
65	9682	137018
66	9835	136965
67	9989	136918
68	10126	136638
69	10274	136503
70	10405	136146
71	10553	136021
72	10692	135775
73	10830	135528
74	10978	135401
75	11123	135234
76	11277	135180
77	11422	135024
78	11567	134857
79	11648	133958
80	11786	133730
81	11921	133464
82	12059	133238
83	12194	132977
84	12324	132670
85	12466	132490
86	12614	132376
87	12749	132128
88	12884	131882
89	13025	131702
90	13149	131347
91	13286	131128
92	13424	130924
93	13564	130741
94	13705	130563
95	13841	130340
96	13979	130141
97	14119	129954
98	14256	129748
99	14407	129664
100	14564	129635
101	14688	129319
102	14821	129073
103	14967	128947
104	15122	128903
105	15270	128789
106	15401	128538
107	15552	128449
108	15698	128322
109	15843	128190
110	15984	128017
111	16119	127804
112	16261	127649
113	16405	127504
114	16549	127356
115	16701	127275
116	16833	127045
117	16974	126880
118	17121	126755
119	17256	126544
120	17386	126301
121	17541	126238
122	17669	125981
123	17796	125725
124	17924	125471
125	18072	125359
126	18206	125153
127	18349	125008
128	18500	124914
129	18650	124812
130	18785	124614
131	18922	124431
132	19076	124358
133	19222	124228
134	19356	124027
135	19506	123922
136	19643	123736
137	19859	124049
138	20009	123946
139	20160	123843
140	20311	123741
141	20457	123610
142	20614	123542
143	20760	123411
144	20920	123356
145	21065	123216
146	21122	122566
147	21240	122278
148	21379	122105
149	21519	121941
150	21654	121750
151	21773	121472
152	21904	121262
153	22062	121200
154	22198	121014
155	22337	120851
156	22474	120672
157	22612	120505
158	22750	120335
159	22898	120215
160	23039	120062
161	23169	119853
162	23320	119748
163	23476	119671
164	23626	119565
165	23762	119385
166	23901	119222
167	24039	119050
168	24168	118839
169	24324	118760
170	24446	118513
171	24596	118407
172	24723	118187
173	24857	118003
174	25006	117887
175	25140	117702
176	25242	117370
177	25368	117151
178	25518	117040
179	25653	116867
180	25730	116427
181	25852	116192
182	25982	115999
183	26101	115756
184	26216	115494
185	26354	115337
186	26500	115213
187	26633	115035
188	26774	114890
189	26914	114742
190	27036	114515
191	27151	114261
192	27264	114003
193	27397	113826
194	27534	113667
195	27662	113471
196	27786	113259
197	27908	113042
198	28033	112838
199	28163	112653
200	28293	112470
201	28370	112078
202	28510	111935
203	28638	111747
204	28765	111554
205	28885	111336
206	29006	111120
207	29138	110951
208	29270	110781
209	29350	110412
210	29486	110260
211	29628	110129
212	29758	109951
213	29892	109792
214	30023	109621
215	30149	109431
216	30280	109259
217	30359	108902
218	30526	108865
219	30676	108763
220	30812	108609
221	30954	108479
222	31083	108304
223	31224	108169
224	31372	108061
225	31533	107995
226	31678	107874
227	31816	107730
228	31944	107552
229	32084	107413
230	32209	107226
231	32349	107088
232	32563	107194
233	32700	107044
234	32831	106875
235	32984	106779
236	33123	106636
237	33269	106519
238	33411	106386
239	33622	106471
240	33781	106390
241	33931	106281
242	34058	106101
243	34206	105984
244	34359	105882
245	34503	105753
246	34633	105583
247	34781	105467
248	34905	105276
249	35056	105170
250	35192	105016
251	35339	104897
252	35484	104770
253	35617	104608
254	35755	104463
255	35902	104340
256	36040	104195
257	36176	104042
258	36312	103889
259	36473	103807
260	36606	103648
261	36773	103584
262	36920	103460
263	37089	103400
264	37279	103398
265	37449	103338
266	37601	103227
267	37733	103063
268	37850	102856
269	37998	102735
270	38128	102566
271	38276	102446
272	38427	102331
273	38580	102224
274	38719	102079
275	38854	101923
276	38996	101785
277	39129	101625
278	39257	101449
279	39403	101323
280	39537	101164
281	39671	101008
282	39816	100879
283	39969	100768
284	40099	100600
285	40235	100447
286	40375	100305
287	40512	100155
288	40701	100133
289	40814	99925
290	40924	99708
291	41072	99587
292	41191	99393
293	41359	99319
294	41505	99190
295	41636	99027
296	41754	98832
297	41899	98703
298	42016	98506
299	42143	98333
300	42266	98153
301	42404	98008
302	42520	97810
303	42647	97641
304	42785	97494
305	42915	97330
306	43048	97174
307	43174	97002
308	43290	96807
309	43416	96636
310	43541	96463
311	43669	96295
312	43800	96136
313	43918	95950
314	44042	95774
315	44160	95588
316	44282	95409
317	44420	95266
318	44545	95095
319	44672	94928
320	44785	94733
321	44913	94569
322	45022	94366
323	45149	94201
324	45272	94026
325	45411	93888
326	45539	93724
327	45688	93605
328	45819	93448
329	45950	93292
330	46088	93152
331	46224	93006
332	46350	92840
333	46491	92705
334	46610	92524
335	46744	92376
336	46868	92207
337	47043	92138
338	47208	92050
339	47402	92016
340	47548	91890
341	47694	91762
342	47817	91592
343	47931	91404
344	48047	91220
