iter	Passed	Remaining
0	130	130816
1	253	126248
2	392	130383
3	532	132697
4	665	132511
5	789	130814
6	918	130276
7	1040	129064
8	1163	128162
9	1293	128008
10	1421	127840
11	1550	127623
12	1674	127154
13	1802	126931
14	1997	131145
15	2125	130704
16	2235	129289
17	2377	129712
18	2544	131352
19	2713	132981
20	2865	133593
21	2989	132916
22	3141	133457
23	3272	133071
24	3388	132146
25	3549	132970
26	3672	132362
27	3810	132291
28	3941	131979
29	4065	131458
30	4198	131238
31	4338	131225
32	4458	130658
33	4599	130665
34	4741	130737
35	4873	130511
36	5012	130464
37	5137	130054
38	5265	129754
39	5394	129469
40	5519	129097
41	5654	128967
42	5781	128676
43	5905	128303
44	6046	128328
45	6164	127838
46	6296	127661
47	6427	127474
48	6554	127219
49	6673	126795
50	6809	126718
51	6936	126450
52	7062	126187
53	7185	125882
54	7308	125581
55	7447	125542
56	7603	125793
57	7751	125898
58	7886	125786
59	8011	125510
60	8145	125393
61	8282	125305
62	8404	125000
63	8549	125039
64	8700	125148
65	8837	125070
66	8970	124923
67	9099	124722
68	9234	124603
69	9380	124621
70	9506	124392
71	9695	124960
72	9835	124898
73	9965	124708
74	10096	124522
75	10273	124909
76	10411	124804
77	10549	124698
78	10689	124625
79	10817	124396
80	10947	124209
81	11076	124007
82	11197	123715
83	11334	123603
84	11486	123651
85	11604	123335
86	11753	123340
87	11913	123467
88	12050	123345
89	12193	123288
90	12312	122991
91	12446	122838
92	12568	122572
93	12692	122331
94	12828	122206
95	12958	122022
96	13086	121828
97	13222	121703
98	13342	121430
99	13452	121070
100	13584	120917
101	13709	120694
102	13839	120525
103	13987	120505
104	14111	120282
105	14258	120254
106	14404	120214
107	14513	119869
108	14642	119691
109	14768	119494
110	14887	119233
111	15041	119255
112	15202	119336
113	15350	119304
114	15483	119156
115	15613	118986
116	15748	118851
117	15886	118742
118	16014	118557
119	16142	118378
120	16269	118186
121	16392	117969
122	16540	117937
123	16668	117753
124	16796	117578
125	16926	117412
126	17049	117201
127	17179	117036
128	17312	116895
129	17441	116726
130	17571	116563
131	17701	116398
132	17838	116286
133	17981	116211
