iter	RMSE
0	1171.17
1	1143.230775
2	1117.387114
3	1093.77789
4	1071.900713
5	1050.870087
6	1032.66364
7	1015.007803
8	999.5358451
9	983.3920949
10	969.8925442
11	956.8331377
12	945.2973613
13	934.3645099
14	924.0558632
15	914.7947301
16	906.2556802
17	897.0140466
18	889.3722881
19	882.8410968
20	875.8484236
21	870.0106712
22	863.8912384
23	858.4246675
24	853.6609755
25	848.9375423
26	844.5084635
27	840.2601826
28	836.7021351
29	833.28259
30	830.0626459
31	826.9842387
32	824.017513
33	821.7154297
34	819.6178227
35	817.3564097
36	815.26194
37	813.3954001
38	811.3551352
39	809.7833836
40	807.6411454
41	806.043034
42	804.2757301
43	802.8362347
44	801.6206376
45	799.8840657
46	798.7407075
47	797.5035628
48	795.9247508
49	795.1811286
50	794.1370637
51	793.2988077
52	791.8846288
53	791.1816269
54	790.1158235
55	789.0298525
56	787.9592244
57	787.1308369
58	786.3021715
59	785.3911757
60	784.7120768
61	784.1686593
62	783.6984566
63	782.9180128
64	782.6408655
65	781.8216703
66	780.760974
67	780.0339243
68	779.4906965
69	779.1930506
70	778.2522961
71	777.9097785
72	777.3698227
73	777.0017578
74	776.6969404
75	776.4394205
76	775.6557929
77	774.9602563
78	774.4462442
79	773.8253753
80	773.5537587
81	773.3941244
82	773.0696194
83	772.5909718
84	772.0981198
85	771.6892578
86	771.1014241
87	770.8912862
88	770.3535768
89	770.0646245
90	769.5231572
91	769.3806269
92	768.9372207
93	768.6820044
94	768.4170407
95	768.1434928
96	767.7729581
97	767.4714092
98	767.1479761
99	766.8490959
100	766.5857736
101	766.110669
102	765.9496156
103	765.643385
104	765.3459343
105	764.9101618
106	764.5488302
107	764.4395141
108	763.7320351
109	763.1615491
110	763.0525459
111	762.5865308
112	762.2685517
113	762.0936761
114	761.395433
115	760.9410038
116	760.2557255
117	759.7752274
118	759.6108569
119	759.3024314
120	758.9374758
121	758.7133751
122	758.6029853
123	758.0492697
124	757.7810248
125	757.4960623
126	757.0912348
127	756.8439028
128	756.5994989
129	755.7876382
130	755.4142192
131	755.3051439
132	755.0500405
133	755.004307
134	754.6435387
135	754.4538484
136	754.2090936
137	753.6743766
138	753.4723563
139	753.1210242
140	752.9231611
141	752.8930096
142	752.5460487
143	752.4346336
144	752.1637125
145	751.9209642
146	751.7673551
147	751.5584952
148	751.5254681
149	751.3064408
150	751.1925361
151	751.1116742
152	750.7476351
153	750.2212852
154	750.1237666
155	749.892632
156	749.4357854
157	749.404036
158	749.1040358
159	749.0715723
160	749.0389252
161	748.5977091
162	748.2645624
163	748.2247523
164	747.8713092
165	747.7478053
166	747.5777506
167	747.549076
168	747.4654022
169	747.249404
170	747.2104779
171	747.1409941
172	747.0703629
173	747.0653511
174	746.8186919
175	746.7947144
176	746.6771947
177	746.5972391
178	746.3879784
179	746.1072901
180	745.8262681
181	745.5549967
182	745.4774856
183	745.1690105
184	744.9927854
185	744.5954283
186	744.5713322
187	744.2622665
188	744.0419392
189	743.8957508
190	743.4642676
191	743.3236376
192	743.0111172
193	742.3203519
194	742.1116939
195	741.8944071
196	741.6490234
197	741.359394
198	741.0236344
199	740.7046736
200	740.4856241
201	740.2999885
202	740.0049247
203	739.9952537
204	739.764016
205	739.6980757
206	739.6401644
207	739.0693128
208	738.9285925
209	738.9200698
210	738.5401636
211	738.3537993
212	738.1197581
213	737.9474716
214	737.5586751
215	737.4559985
216	737.393972
217	737.3036001
218	737.1769711
219	737.0869911
220	736.7350944
221	736.7297501
222	736.5881997
223	736.3607723
224	736.2334602
225	735.9080152
226	735.6432447
227	735.5660124
228	735.3488562
229	735.1501304
230	734.9833576
231	734.9129521
232	734.7471425
233	734.7332344
234	734.5275812
235	734.3291352
236	734.1181792
237	733.9761609
238	733.9188229
