iter	Passed	Remaining
0	138	137875
1	275	137276
2	421	140145
3	555	138390
4	711	141679
5	849	140665
6	990	140556
7	1109	137605
8	1270	139894
9	1374	136064
10	1522	136930
11	1654	136223
12	1784	135509
13	1923	135457
14	2075	136274
15	2223	136733
16	2373	137228
17	2501	136475
18	2629	135774
19	2762	135346
20	2916	135962
21	3035	134922
22	3176	134918
23	3324	135211
24	3467	135237
25	3596	134714
26	3730	134426
27	3856	133872
28	3996	133818
29	4143	133986
30	4270	133494
31	4404	133228
32	4565	133790
33	4708	133789
34	4847	133657
35	4984	133480
36	5136	133676
37	5304	134288
38	5476	134949
39	5619	134864
40	5762	134777
41	5916	134951
42	6075	135213
43	6205	134832
44	6345	134655
45	6518	135182
46	6690	135657
47	6824	135360
48	6990	135671
49	7136	135600
50	7296	135765
51	7439	135635
52	7579	135430
53	7721	135272
54	7880	135404
55	8040	135548
56	8197	135624
57	8336	135404
58	8476	135199
59	8605	134819
60	8741	134556
61	8875	134283
62	9040	134461
63	9176	134212
64	9341	134376
65	9505	134520
66	9637	134208
67	9765	133844
68	9899	133571
69	10028	133232
70	10197	133428
71	10330	133154
72	10483	133130
73	10619	132884
74	10752	132619
75	10893	132447
76	11043	132380
77	11183	132194
78	11337	132176
79	11477	131986
80	11611	131744
81	11746	131504
82	11882	131281
83	12004	130911
84	12147	130768
85	12279	130509
86	12405	130185
87	12530	129862
88	12662	129617
89	12786	129282
90	12913	128997
91	13043	128734
92	13186	128607
93	13312	128310
94	13455	128184
95	13587	127948
96	13717	127697
97	13843	127414
98	13975	127190
99	14099	126896
100	14238	126733
101	14366	126484
102	14497	126254
103	14623	125989
104	14756	125778
105	14887	125558
106	15017	125331
107	15153	125158
108	15293	125011
109	15412	124701
110	15533	124408
111	15650	124083
112	15794	123977
113	15948	123951
114	16084	123777
115	16213	123557
116	16352	123409
117	16488	123245
118	16673	123438
119	16795	123168
120	16952	123153
121	17104	123096
122	17285	123248
123	17412	123007
124	17543	122807
125	17672	122584
126	17808	122417
127	17944	122249
128	18090	122147
129	18227	121981
130	18367	121841
131	18491	121592
132	18614	121344
133	18758	121232
134	18906	121142
135	19038	120948
136	19175	120788
137	19329	120739
138	19487	120712
139	19649	120707
140	19802	120643
141	19957	120586
142	20093	120422
143	20233	120279
144	20368	120103
145	20508	119958
146	20653	119848
147	20782	119641
148	20866	119177
149	20980	118889
150	21113	118709
151	21254	118579
152	21398	118459
153	21525	118248
154	21687	118234
155	21822	118067
156	21961	117919
157	22100	117778
158	22256	117719
159	22385	117523
160	22517	117340
161	22655	117192
162	22798	117070
163	22937	116924
164	23071	116758
165	23246	116792
166	23384	116644
167	23520	116481
168	23668	116384
169	23795	116176
170	23945	116086
171	24077	115907
172	24218	115770
173	24350	115595
174	24482	115419
175	24618	115259
176	24758	115119
177	24892	114952
178	25031	114810
179	25158	114612
180	25276	114373
181	25407	114194
182	25603	114307
183	25730	114109
184	25882	114024
185	26029	113914
186	26193	113877
187	26334	113743
188	26469	113579
189	26605	113422
190	26747	113292
191	26874	113097
192	27008	112931
193	27137	112746
194	27281	112623
195	27408	112430
196	27553	112313
197	27679	112116
198	27818	111971
199	27941	111765
200	28077	111609
201	28210	111444
202	28345	111286
203	28471	111096
204	28603	110924
205	28720	110698
206	28857	110550
207	28983	110360
208	29116	110196
209	29220	109923
210	29357	109777
211	29479	109574
212	29610	109406
213	29743	109243
214	29880	109097
215	30010	108925
216	30146	108778
217	30268	108578
218	30405	108433
219	30532	108251
220	30671	108112
221	30800	107939
222	30873	107573
223	31009	107425
224	31146	107280
225	31282	107135
226	31412	106970
227	31540	106793
228	31678	106654
229	31813	106505
230	31938	106324
231	32072	106172
232	32193	105975
233	32319	105799
234	32438	105596
235	32530	105309
236	32656	105134
237	32793	104994
238	32928	104846
239	33061	104695
240	33193	104537
241	33335	104415
242	33471	104270
243	33605	104121
244	33718	103908
245	33848	103745
246	33970	103563
247	34138	103515
248	34286	103411
249	34423	103271
250	34561	103132
251	34696	102986
252	34852	102904
253	34991	102771
254	35123	102617
255	35259	102472
256	35385	102302
257	35523	102163
258	35649	101993
259	35781	101838
260	35904	101661
261	36038	101512
262	36158	101325
263	36286	101163
264	36410	100986
265	36552	100863
266	36677	100690
267	36803	100523
268	36927	100350
269	37064	100210
270	37194	100053
271	37327	99905
272	37450	99730
273	37592	99605
274	37735	99483
275	37855	99301
276	37984	99144
277	38124	99015
278	38256	98863
279	38403	98753
280	38532	98592
281	38660	98434
282	38778	98247
283	38911	98101
284	39033	97925
285	39192	97843
286	39324	97694
287	39481	97607
288	39612	97453
289	39748	97314
290	39877	97158
291	40034	97069
292	40169	96928
293	40294	96762
294	40418	96593
295	40567	96483
296	40698	96334
297	40832	96188
298	40953	96015
299	41096	95892
300	41216	95714
301	41355	95582
302	41502	95469
303	41646	95349
304	41771	95183
305	41915	95063
306	42040	94898
307	42181	94771
308	42301	94595
309	42487	94569
310	42615	94412
311	42754	94280
312	42927	94221
313	43078	94113
314	43207	93959
315	43338	93808
316	43458	93635
317	43597	93500
318	43732	93359
319	43887	93260
320	44017	93107
321	44162	92988
322	44314	92882
323	44455	92753
324	44575	92579
325	44713	92443
326	44847	92300
327	44987	92168
328	45114	92010
329	45235	91842
330	45378	91716
331	45513	91576
332	45643	91424
333	45780	91287
334	45909	91133
335	46041	90985
336	46176	90845
337	46327	90736
338	46461	90592
339	46594	90448
340	46723	90296
341	46862	90161
342	46989	90005
343	47156	89926
344	47288	89780
345	47414	89621
346	47540	89464
347	47699	89368
348	47829	89217
349	47969	89087
350	48119	88972
351	48251	88826
352	48375	88665
353	48512	88528
354	48640	88374
355	48778	88239
356	48915	88102
357	49050	87961
358	49183	87817
359	49312	87666
360	49445	87523
361	49572	87368
362	49698	87212
363	49828	87063
364	49940	86882
365	50133	86842
366	50295	86750
367	50429	86606
368	50571	86477
369	50733	86384
370	50853	86218
371	50986	86073
372	51126	85941
373	51262	85803
374	51389	85649
375	51516	85495
376	51650	85353
377	51775	85196
378	51904	85047
379	52023	84880
380	52197	84804
381	52327	84655
382	52485	84552
383	52623	84416
384	52758	84277
385	52919	84177
386	53042	84017
387	53176	83875
388	53303	83724
389	53433	83574
390	53574	83444
391	53708	83302
392	53842	83160
393	53979	83024
394	54115	82885
395	54250	82745
396	54384	82603
397	54512	82454
398	54653	82322
399	54791	82187
400	54916	82032
401	55050	81890
402	55185	81751
403	55312	81599
404	55443	81453
405	55561	81288
406	55728	81196
407	55856	81046
408	55999	80918
409	56152	80804
410	56304	80689
411	56433	80541
412	56562	80392
413	56697	80252
414	56834	80115
415	56994	80010
416	57132	79875
417	57266	79734
418	57399	79592
419	57565	79495
420	57741	79411
421	57864	79255
422	58032	79160
423	58164	79015
424	58308	78888
425	58449	78755
426	58588	78621
427	58715	78469
428	58858	78341
429	58995	78203
430	59132	78066
431	59275	77936
432	59420	77808
433	59552	77664
434	59680	77515
435	59809	77368
436	59969	77260
437	60120	77141
438	60254	76999
439	60384	76853
440	60515	76708
441	60653	76571
442	60805	76452
443	60953	76328
444	61092	76193
445	61214	76037
446	61346	75894
447	61484	75757
448	61618	75615
449	61746	75468
450	61906	75358
451	62031	75206
452	62158	75057
453	62277	74897
454	62405	74749
455	62546	74617
456	62673	74467
457	62812	74332
458	62948	74194
459	63076	74046
460	63202	73895
461	63347	73767
462	63517	73669
463	63688	73571
464	63832	73441
465	64016	73358
466	64162	73230
467	64321	73117
468	64505	73033
469	64674	72930
470	64829	72812
471	65010	72723
472	65176	72616
473	65349	72518
474	65486	72379
475	65665	72287
476	65813	72159
477	65992	72066
478	66146	71946
479	66310	71836
480	66528	71783
481	66729	71713
482	66858	71564
483	67010	71441
484	67166	71320
485	67305	71183
486	67465	71067
487	67594	70918
488	67746	70794
489	67871	70641
490	68017	70511
491	68184	70401
492	68327	70268
493	68459	70122
494	68606	69992
495	68726	69835
496	68865	69696
497	69006	69560
498	69212	69489
499	69375	69375
500	69529	69251
501	69697	69142
502	69893	69059
503	70064	68952
504	70248	68857
505	70420	68750
506	70584	68635
507	70735	68508
508	70896	68389
509	71070	68283
510	71236	68169
511	71440	68092
512	71623	67993
513	71819	67907
514	71986	67792
515	72141	67667
516	72285	67531
517	72477	67440
518	72621	67304
519	72811	67210
520	72950	67069
521	73129	66965
522	73290	66844
523	73445	66717
524	73602	66592
525	73729	66440
526	73915	66341
527	74093	66234
528	74268	66125
529	74448	66020
530	74611	65899
531	74761	65767
532	75014	65726
533	75207	65630
534	75389	65525
535	75571	65419
536	75708	65275
537	75871	65153
538	76028	65026
539	76194	64906
540	76386	64808
541	76557	64692
542	76755	64599
543	76939	64493
544	77102	64369
545	77301	64276
546	77460	64148
547	77638	64037
548	77799	63911
549	77960	63786
550	78115	63654
551	78277	63529
552	78438	63403
553	78602	63279
554	78809	63189
555	78973	63064
556	79141	62944
557	79318	62829
558	79456	62683
559	79598	62541
560	79732	62392
561	80074	62406
562	80309	62336
563	80517	62244
564	80709	62139
565	80874	62012
566	81068	61909
567	81249	61795
568	81423	61675
569	81567	61533
570	81710	61390
571	81878	61266
572	82030	61128
573	82182	60992
574	82325	60849
575	82482	60716
576	82620	60569
577	82796	60450
578	82940	60307
579	83213	60258
580	83383	60134
581	83579	60028
582	83752	59904
583	83927	59783
584	84107	59665
585	84270	59536
586	84463	59426
587	84630	59298
588	84791	59166
589	84946	59030
590	85103	58895
591	85292	58782
592	85468	58660
593	85658	58547
594	85823	58417
595	85970	58275
596	86160	58161
597	86340	58041
598	86505	57910
599	86659	57772
600	86813	57635
601	86984	57507
602	87197	57408
603	87368	57281
604	87541	57154
605	87696	57017
606	87865	56888
607	87998	56735
608	88175	56612
609	88334	56475
610	88480	56331
611	88615	56181
612	88775	56045
613	88934	55909
614	89075	55762
615	89218	55616
616	89374	55478
617	89516	55332
618	89665	55189
619	89831	55057
620	89982	54916
621	90154	54788
622	90289	54637
