iter	RMSE
0	1177.074929
1	1149.819752
2	1123.469165
3	1098.94566
4	1076.476942
5	1055.292242
6	1036.784377
7	1018.13283
8	1001.019604
9	985.0941091
10	971.5585459
11	957.9321204
12	945.9245871
13	934.5008803
14	923.695088
15	913.3462697
16	904.7707978
17	896.931167
18	888.0701734
19	881.4239706
20	874.6070524
21	868.037237
22	862.0671409
23	857.1671675
24	852.0209526
25	847.5032197
26	843.6255449
27	839.6800135
28	836.0768797
29	832.3473481
30	828.7900164
31	825.4903392
32	822.8409834
33	819.9144159
34	817.5846505
35	815.2538879
36	813.4506531
37	811.5350538
38	810.0030323
39	808.2495841
40	806.8268914
41	805.1760288
42	803.9717758
43	802.3009551
44	800.7344368
45	799.0586229
46	797.7882036
47	796.1716333
48	795.2627597
49	793.5375883
50	792.2463313
51	791.5051588
52	790.6314049
53	789.7537608
54	789.0731637
55	788.4835376
56	787.3621141
57	786.5782061
58	785.6123148
59	784.8056052
60	783.6942893
61	782.8788786
62	782.1806375
63	781.3402593
64	780.5504785
65	779.9060313
66	779.7900922
67	779.0380664
68	778.5831439
69	778.2736634
70	777.6834672
71	776.7740774
72	776.0849183
73	775.7710121
74	774.9814907
75	774.4587077
76	774.083807
77	773.6547777
78	773.1998331
79	772.8101837
80	772.2011059
81	771.7045097
82	771.2624358
83	770.9754973
84	770.7262545
85	770.2816885
86	769.8515659
87	769.3728966
88	768.6413428
89	768.0075343
90	767.6766987
91	767.170439
92	766.6530283
93	766.1829168
94	765.8745048
95	765.4767738
96	765.1769807
97	764.6718395
98	764.1384758
99	763.7735919
100	763.2787146
101	763.0666063
102	762.4216618
103	762.03578
104	761.4466549
105	760.6351952
106	760.1421175
107	759.957408
108	759.7850657
109	759.2887328
110	758.8373564
111	758.5387625
112	758.4506685
113	758.33793
114	758.0028032
115	757.6366304
116	756.9694895
117	756.7965127
118	756.3353978
119	756.0010066
120	755.7655172
121	755.696082
122	755.6576245
123	755.5214722
124	755.2543112
125	755.1035991
126	754.9414477
127	754.7345379
128	754.606773
129	754.5722857
130	754.3041024
131	754.1098802
132	753.5975856
133	753.4955702
134	753.4167454
135	753.2943263
136	753.174452
137	752.9119572
138	752.8801516
139	752.7013973
140	752.5988736
141	752.4872738
142	752.1337059
143	751.835836
144	751.6823219
145	751.4249127
146	751.1614319
147	750.9395947
148	750.922204
149	750.6994077
150	750.4299682
151	750.3654696
152	750.2206959
153	750.0273747
154	749.6968694
155	749.3161403
156	749.1807745
157	749.0946297
158	748.913634
159	748.6958909
160	748.5219717
161	748.1419707
162	747.8486763
163	747.7203331
164	747.4883776
165	747.4651657
166	747.3445259
167	746.9359373
168	746.8158824
169	746.3396915
170	746.1207779
171	746.0319591
172	745.8861399
173	745.7018158
174	745.4555666
175	745.3873902
176	745.1895536
177	744.890485
178	744.7915832
179	744.4117419
180	744.3735313
181	744.3302421
182	744.2368207
183	744.1646082
184	743.3418639
185	743.2948089
186	743.1289471
187	742.9786768
188	742.8638537
189	742.8488012
190	742.834624
191	742.5244162
192	742.2032293
193	742.0972317
194	741.792218
195	741.6584272
196	741.4600841
197	741.1787258
198	741.1578728
199	740.9765379
200	740.7457614
201	740.6274294
202	740.5828163
203	740.541304
204	740.4103575
205	740.3309408
206	740.2559423
207	740.0084069
208	739.8054926
209	739.6305338
210	739.4428084
211	738.8740231
212	738.695769
213	738.4493717
214	738.398709
215	738.3115223
216	738.1818747
217	737.8769269
218	737.6215187
219	737.4340322
220	737.2988328
221	737.249532
222	737.0018375
223	736.7064436
224	736.5048282
225	736.4731676
226	736.318002
227	736.065411
228	735.9037348
229	735.7955856
230	735.7403159
231	735.6032431
232	735.5592335
233	735.2472799
234	735.0603592
235	734.902732
236	734.7191865
237	734.4809764
238	734.4084681
239	734.2400293
240	734.0469635
241	733.982344
242	733.9501428
243	733.7701736
244	733.5361366
245	733.0026804
246	732.9921394
247	732.9657919
248	732.9123712
249	732.5447617
250	732.4565455
251	732.4236568
252	732.3608295
253	732.0111972
254	731.6682562
255	731.3962335
256	731.0779246
257	731.0514316
258	731.0203756
259	730.7976566
260	730.6562435
261	730.6176284
262	730.380889
263	729.8846146
264	729.5266893
265	729.470386
266	729.2181608
267	728.7822947
268	728.5976581
269	728.405587
270	728.2103464
271	728.0585719
272	727.883275
273	727.846607
274	727.8328226
275	727.7353144
276	727.7100134
277	727.6085558
278	727.3420167
279	727.2385749
280	727.0081603
281	726.7004338
282	726.5511615
283	726.4281372
284	726.2848686
285	725.9756283
286	725.815684
287	725.6437551
288	725.4523586
289	725.3973236
290	725.3019774
291	725.1216485
292	725.0505774
293	724.8318832
294	724.6521192
295	724.6008249
296	724.5499229
297	724.3842196
298	724.0597285
299	723.8473726
300	723.751408
301	723.5610849
302	723.4976951
303	723.4564266
304	723.2454756
305	723.1914202
306	722.8009106
307	722.702704
308	722.6621658
309	722.5712915
310	722.4104672
311	722.1797562
312	722.1430478
313	721.8780076
314	721.8038378
315	721.5901757
316	721.3189556
317	721.3008068
318	721.2825227
319	721.245652
320	721.0602109
321	721.0184629
322	720.8648458
323	720.7826491
324	720.7143526
325	720.592569
326	720.5458807
327	720.3378811
328	720.201405
329	720.1215958
330	720.0994306
331	720.0173897
332	719.8495627
333	719.5815481
334	719.5074972
335	719.4307275
336	719.3827962
337	719.3467809
338	719.2014648
339	718.8239877
340	718.695387
341	718.545236
342	718.4138594
343	718.3954219
344	718.3025403
345	718.0385759
346	717.878448
347	717.8527947
348	717.6825903
349	717.6555758
350	717.6429422
351	717.468407
352	717.4554837
353	717.4184679
354	717.101901
355	716.9300538
356	716.8746821
357	716.7798466
358	716.5473819
359	716.310811
360	716.188639
361	716.0106629
362	715.9254307
363	715.4489799
364	715.3808626
365	715.2982097
366	715.1581766
367	714.9967086
368	714.9517189
369	714.9351305
370	714.7033244
371	714.6094903
372	714.4868892
373	714.4573958
374	714.3387356
375	714.2753691
376	714.1267618
377	714.032097
378	713.8053699
379	713.5314235
380	713.5165563
381	713.2691197
382	713.2493689
383	713.2120799
384	713.1570731
385	713.121288
386	712.8701478
387	712.7641354
388	712.6857773
389	712.6009498
390	712.4760798
391	712.3652101
392	712.3293174
393	712.288888
394	712.1972287
395	712.1810047
396	712.0168428
397	711.5314159
398	711.4229172
399	711.4000056
400	710.9331884
401	710.9216465
402	710.7063256
403	710.6110517
404	710.4641636
405	710.1606786
406	710.0915287
407	709.9466119
408	709.7506983
409	709.7297318
410	709.6981145
411	709.5413208
412	709.103207
413	708.9350583
414	708.7653243
415	708.7456165
416	708.6073808
417	708.479809
418	708.3276363
419	708.0905112
420	708.0775818
421	707.7719913
422	707.7447736
423	707.5349846
424	707.5022219
425	707.4100021
426	707.3460846
427	707.1224472
428	707.0728409
429	707.0511478
430	706.9654389
431	706.9299894
432	706.7975272
433	706.6727095
434	706.5727815
435	706.4017827
436	706.3894814
437	706.2609144
438	706.117856
439	706.0854856
440	705.7908079
441	705.7693066
442	705.7185557
443	705.7036453
444	705.5968694
445	705.5480751
446	705.409412
447	705.2865241
448	705.2385229
449	705.0337392
450	705.0218406
451	704.9469237
452	704.8128451
453	704.6372205
