iter	RMSE
0	1155.373595
1	1127.461663
2	1101.031502
3	1076.925056
4	1053.968325
5	1032.888694
6	1012.973452
7	994.5900734
8	977.9239503
9	962.6513375
10	948.2123616
11	934.3343451
12	921.556743
13	909.975957
14	898.6392243
15	888.4688768
16	879.4686065
17	870.920971
18	862.9637451
19	855.3190389
20	848.4587091
21	842.2565333
22	835.9450942
23	830.7970134
24	826.0697905
25	821.8310788
26	817.3274565
27	813.0098037
28	808.7506913
29	805.5382466
30	801.9307545
31	799.0630779
32	796.2519565
33	793.3187257
34	790.3934719
35	787.4382445
36	784.8775868
37	783.3506764
38	781.6056035
39	779.6649361
40	778.4394936
41	776.6178615
42	775.081046
43	773.7495426
44	772.5660421
45	770.8000751
46	769.7794083
47	768.1799733
48	767.1092994
49	766.0536494
50	765.1022607
51	764.321655
52	763.4945739
53	762.2009563
54	761.3369315
55	760.8761778
56	759.9783749
57	759.5271425
58	758.6850529
59	757.8186905
60	756.7235534
61	755.5782242
62	754.9155304
63	754.3890616
64	753.7600168
65	753.4477266
66	753.0286781
67	752.4908809
68	751.8001271
69	750.9268044
70	750.3250966
71	750.0659432
72	749.5219907
73	749.0025201
74	747.7136566
75	747.3375565
76	746.5676869
77	746.1079139
78	745.4723027
79	745.0329899
80	744.4498039
81	743.7553997
82	743.5180797
83	743.0717614
84	742.4903282
85	741.6993914
86	741.4281634
87	741.1970241
88	740.5949592
89	740.4283595
90	740.3932122
91	740.0203016
92	739.4842195
93	738.9254365
94	738.6245426
95	738.3890976
96	737.9938244
97	737.6170263
98	737.3318302
99	737.0338505
100	736.4690923
101	736.135655
102	736.0938895
103	735.5377565
104	735.3650669
105	734.9565236
106	734.7314299
107	734.2552113
108	733.848123
109	733.6519431
110	733.3055425
111	733.1549127
112	732.5297873
113	732.2392715
114	731.9743452
115	731.8637644
116	731.6006709
117	731.2616759
118	730.5703308
119	729.9901922
120	729.6976758
121	729.6143401
122	729.1323282
123	728.8038589
124	728.4904601
125	728.3749833
126	728.1064557
127	727.978231
128	727.9058824
129	727.5712709
130	727.4131101
131	727.3494873
132	727.2994583
133	727.2321812
134	726.7100836
135	726.4663727
136	726.0252057
137	725.9801993
138	725.8116402
139	725.6361933
140	725.4220995
141	725.0058037
142	724.9535113
143	724.5949143
144	724.365955
145	724.0914059
146	723.6279003
147	723.0341718
148	722.9690818
149	722.9405228
150	722.8284705
151	722.7129632
152	722.3270756
153	722.3041828
154	721.927409
155	721.6994185
156	721.6767483
157	721.5629441
158	721.2541774
159	721.1979574
160	721.0020249
161	720.9986224
162	720.7761644
163	720.1049286
164	719.6861194
165	719.614816
166	719.4592564
167	719.3345771
168	719.2793064
169	719.0126608
170	718.8984626
171	718.8622075
172	718.7048171
173	718.6175591
174	718.5940691
175	718.3815959
176	718.1893118
177	718.1821857
178	717.9404418
179	717.7359774
180	717.7303995
181	717.4535016
182	717.2622325
183	717.1252616
184	716.9904393
185	716.7856192
186	716.7055077
187	716.5539693
188	716.4419804
189	716.2227285
190	715.9074697
191	715.8255005
192	715.6770883
193	715.6606082
194	715.6193126
195	715.598612
196	715.42729
197	715.2205247
198	715.1433102
199	715.0399329
200	714.8053036
201	714.7856864
202	714.7536024
203	714.6894863
204	714.4930018
205	714.0597966
206	713.7776276
207	713.7764194
208	713.5222491
209	713.2929064
210	713.2855994
211	713.1480978
212	712.9169799
213	712.4919087
214	712.4075922
215	712.3951554
216	712.3441104
217	712.3411526
218	712.1707306
219	712.147755
220	711.8541458
221	711.7559414
222	711.7553045
223	711.3632435
224	711.1917527
225	710.9854562
226	710.7773388
227	710.7277264
228	710.724368
229	710.53167
230	710.2927947
231	710.1551828
232	710.1331407
233	709.9636146
234	709.8022356
235	709.6059941
236	709.4102256
237	709.3980014
238	709.0145845
239	708.8463405
240	708.6011696
241	708.396217
242	708.2686935
243	707.7602316
244	707.6647935
245	707.6500216
246	707.4926936
247	707.2963855
248	707.2005113
249	707.0229072
250	707.0123093
251	706.8247711
252	706.5558278
253	706.315982
254	706.0609779
255	706.0008059
256	705.8984579
257	705.8641537
258	705.8022856
259	705.3933473
260	705.1370568
261	704.9746776
262	704.81283
263	704.5560181
264	704.4143902
265	704.2216504
266	704.2099749
267	703.8778398
268	703.7252629
269	703.6710425
270	703.5147732
271	703.4383034
272	703.2844561
273	703.1510818
274	702.9656824
275	702.9236799
276	702.7465552
277	702.5794465
278	702.4575554
279	702.302488
280	702.1913637
281	701.9858211
282	701.8579925
283	701.8477222
284	701.8123088
285	701.696698
286	701.4154279
287	701.3993129
288	701.0711323
289	700.9928649
290	700.8775305
291	700.8764862
292	700.766139
293	700.5383939
294	700.25867
295	700.2269019
296	700.1242554
297	699.8334848
298	699.7577127
299	699.5527124
300	699.5067175
301	699.4271531
302	699.1900463
303	699.0816062
304	699.051962
305	698.951453
306	698.9362009
307	698.8456746
308	698.8352009
309	698.7928682
310	698.7742997
311	698.3730782
312	698.276197
313	698.088757
314	698.0827881
315	697.9164479
316	697.8272023
317	697.76124
318	697.6589629
319	697.4344719
320	697.3574139
321	697.2358509
322	697.1386171
323	696.892589
324	696.7320734
325	696.6262641
326	696.5375361
327	696.4666804
328	696.4173501
329	696.3144994
330	696.2475627
331	695.90507
332	695.8213909
333	695.7181708
334	695.6749296
335	695.4301563
336	695.366753
337	695.128614
338	695.0377326
339	694.9543934
340	694.5665426
341	694.5027478
342	694.4166669
343	694.3755825
344	694.3550479
345	694.201055
346	694.0644109
347	693.7250262
348	693.6542838
349	693.634596
350	693.5303999
351	693.3898185
352	693.3473107
353	693.2122906
354	693.1982694
355	692.9368273
356	692.8117265
357	692.7897425
358	692.6340121
359	692.5889204
360	692.4903076
361	692.4773039
362	692.4050822
363	692.3285352
364	692.1304114
365	692.0449638
366	691.9520594
367	691.794432
368	691.7531183
369	691.6824222
370	691.5743613
371	691.4417271
372	691.303294
373	691.2241683
374	690.9984707
375	690.9537979
376	690.8429807
377	690.7511411
378	690.5909865
379	690.5157042
380	690.4238082
381	690.2426553
382	690.2241254
383	690.0321669
384	689.8896358
385	689.6153692
386	689.5482349
387	689.4084186
388	689.3488593
389	689.3296655
390	689.2169344
391	689.1867944
392	689.166227
393	689.1293286
394	689.0632057
395	689.0014793
396	688.98503
397	688.9322833
398	688.8397218
399	688.7880212
400	688.7506575
401	688.7098135
402	688.6558888
403	688.6399279
404	688.6092912
405	688.5870671
406	688.5281315
407	688.4094782
408	688.3247662
409	688.1828626
410	687.9989221
411	687.9747571
412	687.8307081
413	687.6659502
414	687.3698773
415	687.3577247
416	687.3029041
417	687.1802693
418	687.0729185
419	687.045143
420	686.8252989
421	686.8137535
422	686.7630883
423	686.62252
424	686.5514157
425	686.4478803
426	686.3055412
427	686.1705853
428	686.160966
429	685.914577
430	685.6996782
431	685.5111141
432	685.4426463
433	685.3717914
434	685.1952565
435	685.175566
436	685.1566872
437	685.0920078
438	685.0233231
439	684.9328654
440	684.8988672
441	684.8570666
442	684.8148313
443	684.7956804
444	684.7857933
445	684.7185309
446	684.7052825
447	684.6723873
448	684.6331398
449	684.409518
450	684.1839214
451	683.9639255
452	683.9264093
453	683.8319625
454	683.8126359
455	683.5618533
456	683.3542196
457	683.2901817
458	683.1576157
459	682.9275978
460	682.8577181
461	682.6981184
462	682.6891421
463	682.6439547
464	682.4942166
465	682.4196427
466	682.3818067
467	682.2107021
468	682.1774086
469	682.1448743
470	682.1093598
471	681.9275061
472	681.8933998
473	681.6982871
474	681.657418
475	681.5805272
476	681.4963807
477	681.488223
478	681.4728468
479	681.3966267
480	681.2814933
481	681.1021382
482	680.9452643
483	680.7158829
484	680.6391005
485	680.559007
486	680.5077112
487	680.4621824
488	680.3062983
489	680.2745741
490	680.034815
491	679.9778453
492	679.7362839
493	679.7065286
494	679.6627824
495	679.5889529
496	679.5444395
497	679.3906689
498	679.0693066
499	678.9643046
500	678.6345448
501	678.412308
502	678.3909171
503	678.3490761
504	678.3328701
505	678.1677573
506	678.1325661
507	678.0759662
508	678.0669025
509	677.8814013
510	677.8257712
511	677.7900314
512	677.7144584
513	677.6605139
514	677.6538308
515	677.6452706
516	677.3499821
517	677.3017839
518	677.24656
519	677.2092373
520	677.1172202
521	677.1008262
522	676.7218508
523	676.685366
524	676.620288
525	676.5857245
526	676.4764822
527	676.4642959
528	676.4468865
529	676.3293396
530	676.0942154
531	676.0106014
532	675.9761043
533	675.9483882
534	675.8608029
535	675.8190616
536	675.7793703
537	675.5119524
538	675.4865483
539	675.3567338
540	675.2322122
541	675.1732508
542	674.9833401
543	674.749309
544	674.6271989
545	674.5105681
546	674.455307
547	674.4418374
548	674.3349387
549	674.1022368
550	674.0452164
551	673.971415
552	673.9395363
553	673.8459607
554	673.7519205
555	673.5421939
556	673.4185373
557	673.132387
