iter	Passed	Remaining
0	136	136510
1	262	131024
2	407	135345
3	549	136860
4	681	135522
5	807	133710
6	941	133518
7	1067	132409
8	1200	132193
9	1326	131342
10	1461	131413
11	1586	130655
12	1713	130094
13	1848	130163
14	1971	129475
15	2094	128837
16	2218	128292
17	2349	128193
18	2476	127884
19	2615	128136
20	2755	128470
21	2872	127709
22	3016	128123
23	3150	128123
24	3292	128400
25	3424	128278
26	3584	129184
27	3729	129482
28	3879	129880
29	4037	130545
30	4204	131419
31	4359	131872
32	4499	131850
33	4656	132286
34	4801	132395
35	4956	132728
36	5116	133155
37	5284	133783
38	5442	134120
39	5615	134783
40	5765	134864
41	5895	134462
42	6023	134055
43	6160	133845
44	6301	133722
45	6429	133341
46	6591	133659
47	6747	133831
48	6889	133720
49	7008	133155
50	7171	133446
51	7341	133850
52	7474	133545
53	7600	133155
54	7736	132924
55	7902	133212
56	8055	133267
57	8208	133320
58	8349	133172
59	8486	132956
60	8606	132476
61	8733	132135
62	8868	131906
63	8975	131272
64	9104	130961
65	9240	130762
66	9377	130578
67	9445	129461
68	9574	129179
69	9703	128918
70	9834	128673
71	9961	128388
72	10091	128149
73	10228	127990
74	10352	127682
75	10477	127379
76	10596	127022
77	10730	126840
78	10845	126442
79	10997	126465
80	11133	126315
81	11269	126163
82	11400	125951
83	11529	125721
84	11679	125726
85	11857	126020
86	12013	126076
87	12176	126189
88	12331	126229
89	12457	125955
90	12536	125227
91	12674	125096
92	12804	124880
93	12933	124659
94	13071	124524
95	13209	124390
96	13340	124187
97	13476	124037
98	13617	123937
99	13750	123758
100	13873	123487
101	14009	123342
102	14151	123241
103	14320	123375
104	14486	123479
105	14638	123462
106	14783	123376
107	14931	123325
108	15079	123261
109	15211	123072
110	15382	123200
111	15536	123182
112	15685	123127
113	15817	122932
114	15974	122936
115	16138	122983
116	16300	123020
117	16452	122977
118	16591	122835
119	16749	122826
120	16907	122821
121	17035	122596
122	17162	122370
123	17297	122200
124	17424	121970
125	17550	121737
126	17779	122219
127	17965	122389
128	18119	122344
129	18265	122237
130	18416	122170
131	18548	121968
132	18691	121845
133	18849	121820
134	19006	121784
135	19168	121774
136	19303	121597
137	19450	121494
138	19580	121285
139	19725	121173
140	19888	121162
141	20035	121060
142	20182	120956
143	20307	120716
144	20445	120558
145	20570	120322
146	20746	120384
147	20912	120386
148	21054	120249
149	21211	120201
150	21360	120100
151	21505	119975
152	21657	119894
153	21814	119838
154	21973	119792
155	22111	119628
156	22248	119461
157	22399	119371
158	22544	119243
159	22650	118913
160	22790	118765
161	22875	118333
162	23009	118154
163	23172	118125
164	23315	117991
165	23496	118050
166	23659	118016
167	23815	117943
168	24005	118039
169	24145	117885
170	24322	117912
171	24494	117913
172	24641	117796
173	24812	117788
174	24975	117743
175	25089	117462
176	25229	117311
177	25362	117123
178	25535	117122
179	25654	116871
180	25749	116512
181	25886	116346
182	26022	116175
183	26190	116150
184	26359	116123
185	26523	116076
186	26683	116007
187	26845	115951
188	27071	116163
189	27243	116141
190	27387	116000
191	27540	115897
192	27704	115842
193	27887	115861
194	28048	115789
195	28215	115741
196	28362	115609
197	28489	115396
198	28629	115237
199	28766	115067
200	28935	115021
201	29083	114895
202	29192	114611
203	29347	114513
204	29496	114389
205	29664	114336
206	29815	114221
207	29924	113942
208	30065	113787
209	30241	113766
210	30400	113677
211	30545	113535
212	30687	113383
213	30816	113186
214	30964	113055
215	31080	112812
216	31186	112528
217	31342	112428
218	31490	112301
219	31667	112276
220	31819	112160
221	31989	112107
222	32061	111713
223	32209	111582
224	32399	111599
225	32542	111452
226	32669	111247
